,user,text,favorite_count,retweet_count,create_at
77,WilliamsRuto,"His legacy extends beyond the soccer pitch, the goals he scored and all his other exploits beyond soccer itself where his charisma and talent made wonderful things possible to authentic global leadership of a unique, talismanic kind. 

May his soul rest in peace.",971,93,2022-12-29 21:45:27+00:00
78,WilliamsRuto,"His profile as a Global icon of sporting excellence and high athletic achievement was an inspirational model which encouraged young men to transcend their limitations and defy all economic, social, cultural and political barriers.",1002,95,2022-12-29 21:45:25+00:00
79,WilliamsRuto,Pele made millions of young boys in the Global South to dream. https://t.co/bLIFZ3Pepy,20161,1320,2022-12-29 21:45:24+00:00
80,WilliamsRuto,"Inna Lillahi Wa Inna Ilayhi Raji’un. 

I extend my deepest condolences to Ahmednasir Abdullahi, following the passing of your Mother, Saado Ahmednoor. I pray for Allah's grace for you and the family. And Allah's mercy and peace for Mama Saado's soul.",5979,518,2022-12-27 14:24:27+00:00
81,WilliamsRuto,"During an Interdenominational Christmas Church Service, Eldoret, Uasin Gishu County. https://t.co/lRIs15tLCj",637,56,2022-12-25 10:15:20+00:00
82,WilliamsRuto,"May the God of hope fill you with all joy and peace as you trust in Him, so that you may overflow with hope by the power of the Holy Spirit. — Romans 15:13 (NIV) https://t.co/O9U0R02glt",2333,214,2022-12-25 10:15:19+00:00
83,WilliamsRuto,"Interdenominational Christmas Service, Eldoret, Uasin Gishu County. https://t.co/p83dQpph6x",1202,131,2022-12-25 07:16:00+00:00
84,WilliamsRuto,Merry Christmas. https://t.co/Dj4Gq4LXLe,3688,521,2022-12-24 15:29:40+00:00
85,WilliamsRuto,https://t.co/PkCHpFRH8c,1616,179,2022-12-24 12:27:38+00:00
86,WilliamsRuto,"My thoughts and prayers are with Dr @akin_adesina, President of the African Development Bank Group, following the passing of your dear mother, Eunice Adesina. 

May you find the strength and grace to bear this loss and may Mama Adesina Rest in eternal peace. https://t.co/qa1I5OZMV1",1130,102,2022-12-23 18:48:36+00:00
87,WilliamsRuto,"During the Annual Kimalel Goat Auction and Cultural Fair, Baringo South Constituency. https://t.co/ib4eGh02tl",450,60,2022-12-22 17:21:32+00:00
88,WilliamsRuto,The National Government will work with counties to set up abattoirs — which will benefit from Special Economic Zones — to support farmers. https://t.co/14uEfxxxu0,555,65,2022-12-22 16:16:08+00:00
89,WilliamsRuto,"Through our Plan on value addition and manufacturing, the Kimalel Goat Auction in Baringo County, will improve more livelihoods by increasing income and creating jobs. https://t.co/KJeELX8Peb",2371,223,2022-12-22 16:16:07+00:00
90,WilliamsRuto,"It is time for humanity to step up and live up to its most basic mandate: To protect life on earth, the integrity of our planets’ vital systems as well as make the world more, not less liveable. This is our obligation to one another in our time and our debt to future generations. https://t.co/GCvNmOItSL",1381,223,2022-12-22 14:43:46+00:00
